run	sequencer_kit
B400_001	Illumina MISEQ V3 300 pair-end
B400_002	Illumina MISEQ V2 250 pair-end
B400_003	Illumina MISEQ V3 300 pair-end
B400_004	Illumina MISEQ V2 250 pair-end
B400_005	Illumina MISEQ V3 300 pair-end
B400_006	Illumina MISEQ V3 300 pair-end
B400_007	Illumina MISEQ V3 300 pair-end
B400_008	Illumina MISEQ V3 250 pair-end
B400_009	Illumina MISEQ V3 250 pair-end
B400_010	Illumina MISEQ V3 250 pair-end
B400_011	Illumina MISEQ V2 250 pair-end
B400_012	Illumina MISEQ V3 300 pair-end
B400_013	Illumina MISEQ V2 250 pair-end
B400_014	Illumina MISEQ V2 250 pair-end
B400_015	Illumina MISEQ V2 250 pair-end
B400_016	Illumina MISEQ V3 300 pair-end
B400_017	Illumina MISEQ V2 250PE
B400_018	Illumina MISEQ V3 300PE
B400_019	Illumina MISEQ V2 250 pair-end
B400_020	Illumina MISEQ V3 300 pair-end
B400_021	Illumina MISEQ V3 300 pair-end
B400_022	Illumina MISEQ V3 300 pair-end
B400_023	Illumina MISEQ V3 300 pair-end
B400_024	Illumina MISEQ V3 300 pair-end
