sample	sample_id	run	ilse_run	genotype	celline	cell_type	treatment	experiment	cell_parental	published	organism	ilse_number	replicate	instrument_model	platform
783897	DRIPseq_NXP010_DMSO_S9.6_rep1	B400_DR_001	24885	Xrcc4-/-::p53-/-; ESC-NPC; NXP010	ESC-NPC	ESC-NPC;NXP010	DMSO; S9.6 immunoprecipitated	DRIP-seq	NXP010	Y	mouse	AS-783897	replicate_1	NextSeq 550	ILLUMINA
783899	DRIPseq_NXP010_DMSO_S9.6_rep2	B400_DR_001	24885	Xrcc4-/-::p53-/-; ESC-NPC; NXP010	ESC-NPC	ESC-NPC;NXP010	DMSO; S9.6 immunoprecipitated	DRIP-seq	NXP010	Y	mouse	AS-783899	replicate_2	NextSeq 550	ILLUMINA
783901	DRIPseq_NXP010_APH05_S9.6_rep1	B400_DR_001	24885	Xrcc4-/-::p53-/-; ESC-NPC; NXP010	ESC-NPC	ESC-NPC;NXP010	APH 0.5 uM 75 hr; S9.6 immunoprecipitated	DRIP-seq	NXP010	N	mouse	AS-783901	replicate_1	NextSeq 550	ILLUMINA
783903	DRIPseq_NXP010_APH05_S9.6_rep2	B400_DR_001	24885	Xrcc4-/-::p53-/-; ESC-NPC; NXP010	ESC-NPC	ESC-NPC;NXP010	APH 0.5 uM 75 hr; S9.6 immunoprecipitated	DRIP-seq	NXP010	N	mouse	AS-783903	replicate_2	NextSeq 550	ILLUMINA
783905	DRIPseq_NXP010_DMSO_S9.6_RNaseH1_rep1	B400_DR_001	24885	Xrcc4-/-::p53-/-; ESC-NPC; NXP010	ESC-NPC	ESC-NPC;NXP010	RNaseH1; DMSO; S9.6 immunoprecipitated	DRIP-seq	NXP010	Y	mouse	AS-783905	replicate_1	NextSeq 550	ILLUMINA
783907	DRIPseq_NXP010_DMSO_S9.6_RNaseH1_rep2	B400_DR_001	24885	Xrcc4-/-::p53-/-; ESC-NPC; NXP010	ESC-NPC	ESC-NPC;NXP010	RNaseH1; DMSO; S9.6 immunoprecipitated	DRIP-seq	NXP010	Y	mouse	AS-783907	replicate_2	NextSeq 550	ILLUMINA
783909	DRIPseq_NXP010_APH05_S9.6_RNaseH1_rep1	B400_DR_001	24885	Xrcc4-/-::p53-/-; ESC-NPC; NXP010	ESC-NPC	ESC-NPC;NXP010	RNaseH1; APH 0.5 uM 75 hr; S9.6 immunoprecipitated	DRIP-seq	NXP010	N	mouse	AS-783909	replicate_1	NextSeq 550	ILLUMINA
783911	DRIPseq_NXP010_APH05_S9.6_RNaseH1_rep2	B400_DR_001	24885	Xrcc4-/-::p53-/-; ESC-NPC; NXP010	ESC-NPC	ESC-NPC;NXP010	RNaseH1; APH 0.5 uM 75 hr; S9.6 immunoprecipitated	DRIP-seq	NXP010	N	mouse	AS-783911	replicate_2	NextSeq 550	ILLUMINA
783913	DRIPseq_NXP010_DMSO_input_rep1	B400_DR_001	24885	Xrcc4-/-::p53-/-; ESC-NPC; NXP010	ESC-NPC	ESC-NPC;NXP010	DMSO	DRIP-seq	NXP010	Y	mouse	AS-783913	replicate_1	NextSeq 550	ILLUMINA
783917	DRIPseq_NXP010_APH05_input_rep1	B400_DR_001	24885	Xrcc4-/-::p53-/-; ESC-NPC; NXP010	ESC-NPC	ESC-NPC;NXP010	APH 0.5 uM 75 hr	DRIP-seq	NXP010	N	mouse	AS-783917	replicate_1	NextSeq 550	ILLUMINA
783919	DRIPseq_NXP010_APH05_input_rep2	B400_DR_001	24885	Xrcc4-/-::p53-/-; ESC-NPC; NXP010	ESC-NPC	ESC-NPC;NXP010	APH 0.5 uM 75 hr	DRIP-seq	NXP010	N	mouse	AS-783919	replicate_2	NextSeq 550	ILLUMINA
