sample	experiment	run	celltype	organism	path	bait_chrom	bait_name	treatment	group	group_short	group_i	control	alleles	concentration	description
PW090	APH concentration	B400_016	NPC	mouse	APH_concentration/PW090_B400_016_result.tlx	chr6	Chr6_70Mb	DMSO	DMSO	DMSO	1	T	2	0	ESC-NPC;NXP010; DMSO
PW091	APH concentration	B400_016	NPC	mouse	APH_concentration/PW091_B400_016_result.tlx	chr6	Chr6_70Mb	APH 0.4 uM 96h	APH 0.4 uM 96h	APH 0.4	1	F	2	0.4	ESC-NPC;NXP010; Aphidicolin 0.4 uM 96h
PW092	APH concentration	B400_016	NPC	mouse	APH_concentration/PW092_B400_016_result.tlx	chr6	Chr6_70Mb	APH 0.2 uM 96h	APH 0.2 uM 96h	APH 0.2	1	F	2	0.2	ESC-NPC;NXP010; Aphidicolin 0.2 uM 96h
PW093	APH concentration	B400_016	NPC	mouse	APH_concentration/PW093_B400_016_result.tlx	chr6	Chr6_70Mb	APH 0.6 uM 96h	APH 0.6 uM 96h	APH 0.6	1	F	2	0.6	ESC-NPC;NXP010; Aphidicolin 0.6 uM 96h
PW094	Hydroxyurea	B400_016	NPC	mouse	PW094_B400_016_result.tlx	chr6	Chr6_70Mb	DMSO	HU-chr6	HU-chr6	3	T	2	0	ESC-NPC;NXP010; DMSO
PW095	Hydroxyurea	B400_016	NPC	mouse	PW095_B400_016_result.tlx	chr6	Chr6_70Mb	HU 2 uM 6h	HU-chr6	HU-chr6	3	F	2	2	ESC-NPC;NXP010; Hydroxyurea 2 uM 6hr
PW096	Hydroxyurea	B400_016	NPC	mouse	PW096_B400_016_result.tlx	chr6	Chr6_70Mb	DMSO	HU-chr6	HU-chr6	4	T	2	0	ESC-NPC;NXP010; DMSO
PW097	Hydroxyurea	B400_016	NPC	mouse	PW097_B400_016_result.tlx	chr6	Chr6_70Mb	HU 2 uM 6h	HU-chr6	HU-chr6	4	F	2	2	ESC-NPC;NXP010; Hydroxyurea 2 uM 6hr
PW098	Chr6 and offtarget baits	B400_016	NPC	mouse	PW098_B400_016_result.tlx	chr6	Chr6_70Mb	No treatment	Chr6 bait	Chr6 bait	2	F	2	0	ESC-NPC;NXP010; No treatment
PW099	Chr6 and offtarget baits	B400_016	NPC	mouse	PW099_B400_016_result.tlx	chr4	Chr6_70Mb-Chr4_141Mb	No treatment	Chr6 Chr4-OT bait	Chr6 Chr4-OT bait	1	T	2	0	ESC-NPC;NXP010; No treatment
PW100	Chr8 and offtarget baits	B400_016	NPC	mouse	PW100_B400_016_result.tlx	chr8	Chr8_61Mb	No treatment	Chr8	Chr8	1	T	2	0	ESC-NPC;NXP010; No treatment
PW101	Chr8 and offtarget baits	B400_016	NPC	mouse	PW101_B400_016_result.tlx	chr6	Chr8_61Mb-Chr6_32Mb	No treatment	Chr8 Chr6-OT bait	Chr8 Chr6-OT bait	1	T	2	0	ESC-NPC;NXP010; No treatment
PW102	Chr8 and offtarget baits	B400_016	NPC	mouse	PW102_B400_016_result.tlx	chr14	Chr8_61Mb-Chr14_22Mb	No treatment	Chr8 Chr14-OT bait	Chr8 Chr14-OT bait	1	T	2	0	ESC-NPC;NXP010; No treatment
LC037	Auts2 isoforms (cDNA)	B400_016	ESC	mouse	LC037_B400_016_result.tlx	chr5	Chr5_101Mb	DMSO	APH 0.2 uM 96h	Auts2-exon2	1	T	2	0.2	ESC;NXP010; Bait before Auts2 exon 2 DMSO
LC038	Auts2 isoforms (cDNA)	B400_016	ESC	mouse	LC038_B400_016_result.tlx	chr5	Chr5_101Mb	APH 0.2 uM 96h	APH 0.2 uM 96h	Auts2-exon2	1	F	2	0.2	ESC;NXP010; Bait before Auts2 exon 2; Aphidicolin 0.2 uM 96h
