sample	experiment	run	celltype	treatment	group	group_short	control	organism	path	path_original	bait_chrom	bait_name	alleles	concentration	description	study_geo	subset_detect_offtargets	subset_detect_rdc	subset_aph_concentration	subset_promoter_enhancer_deletion	subset_multiomics_examples	subset_pileups	instrument_model	platform
PW090	APH concentration	B400_016	NPC	DMSO	DMSO	DMSO	TRUE	mouse	Chr6_70Mb_DMSO_replicate_1.tlx	APH_concentration/PW090_B400_016_result.tlx	chr6	Chr6_70Mb	2	0	ESC-NPC;NXP010; DMSO	This study	Y	Y	Y	N	N	N	Illumina MISEQ V3 300 pair-end	ILLUMINA
PW091	APH concentration	B400_016	NPC	APH 0.4 uM 96h	APH 0.4 uM 96h	APH 0.4	FALSE	mouse	Chr6_70Mb_APH04_replicate_1.tlx	APH_concentration/PW091_B400_016_result.tlx	chr6	Chr6_70Mb	2	0.4	ESC-NPC;NXP010; Aphidicolin 0.4 uM 96h	This study	Y	Y	Y	N	Y	Y	Illumina MISEQ V3 300 pair-end	ILLUMINA
PW092	APH concentration	B400_016	NPC	APH 0.2 uM 96h	APH 0.2 uM 96h	APH 0.2	FALSE	mouse	Chr6_70Mb_APH02_replicate_1.tlx	APH_concentration/PW092_B400_016_result.tlx	chr6	Chr6_70Mb	2	0.2	ESC-NPC;NXP010; Aphidicolin 0.2 uM 96h	This study	Y	N	Y	N	N	N	Illumina MISEQ V3 300 pair-end	ILLUMINA
PW093	APH concentration	B400_016	NPC	APH 0.6 uM 96h	APH 0.6 uM 96h	APH 0.6	FALSE	mouse	Chr6_70Mb_APH06_replicate_1.tlx	APH_concentration/PW093_B400_016_result.tlx	chr6	Chr6_70Mb	2	0.6	ESC-NPC;NXP010; Aphidicolin 0.6 uM 96h	This study	Y	N	Y	N	N	N	Illumina MISEQ V3 300 pair-end	ILLUMINA
LC0027	Ctnna2 promoter/enhancer	B400_005	NPC	DMSO	Allelic deletion (47/5)	fndr_47-5	TRUE	mouse	Chr6_70Mb_DMSO_47-5_replicate_1.tlx	LC0027_B400_005_result.tlx	chr6	Chr6_70Mb	1	0	ESC-NPC;Nxp010;47/5; DMSO	This study	Y	Y	N	Y	N	N	Illumina MISEQ V3 300 pair-end	ILLUMINA
PW057	Ctnna2 promoter/enhancer	B400_007	NPC	DMSO	Allelic deletion (47/5)	fndr_47-5	TRUE	mouse	Chr6_70Mb_DMSO_47-5_replicate_2.tlx	PW057_B400_007_result.tlx	chr6	Chr6_70Mb	1	0	ESC-NPC;NXP010;47/5; DMSO	This study	Y	Y	N	Y	N	N	Illumina MISEQ V3 300 pair-end	ILLUMINA
PW058	Ctnna2 promoter/enhancer	B400_007	NPC	APH 0.5 uM 96h	Allelic deletion (47/5)	fndr_47-5	FALSE	mouse	Chr6_70Mb_APH05_47-5_replicate_1.tlx	PW058_B400_007_result.tlx	chr6	Chr6_70Mb	1	0.5	ESC-NPC;NXP010;47/5; Aphidicolin 0.5 uM 96h	This study	Y	Y	N	Y	Y	Y	Illumina MISEQ V3 300 pair-end	ILLUMINA
VI012	Ctnna2 promoter/enhancer	B400_003	NPC	DMSO	Allelic deletion (47/5)	fndr_47-5	TRUE	mouse	Chr6_70Mb_DMSO_47-5_replicate_3.tlx	VI012_B400_003_result.tlx	chr6	Chr6_70Mb	1	0	ESC-NPC;NXP010;47/5; DMSO	This study	Y	Y	N	Y	N	N	Illumina MISEQ V3 300 pair-end	ILLUMINA
VI013	Ctnna2 promoter/enhancer	B400_003	NPC	APH 0.5 uM 96h	Allelic deletion (47/5)	fndr_47-5	FALSE	mouse	Chr6_70Mb_APH05_47-5_replicate_2.tlx	VI013_B400_003_result.tlx	chr6	Chr6_70Mb	1	0.5	ESC-NPC;NXP010;47/5; Aphidicolin 0.5 uM 96h	This study	Y	Y	N	Y	Y	Y	Illumina MISEQ V3 300 pair-end	ILLUMINA
VI022	Ctnna2 promoter/enhancer	B400_006	NPC	DMSO	Allelic deletion (47/5)	fndr_47-5	TRUE	mouse	Chr6_70Mb_DMSO_47-5_replicate_4.tlx	VI022_B400_006_result.tlx	chr6	Chr6_70Mb	1	0	ESC-NPC;NXP010;47/5; DMSO	This study	Y	Y	N	Y	N	N	Illumina MISEQ V3 300 pair-end	ILLUMINA
VI023	Ctnna2 promoter/enhancer	B400_006	NPC	APH 0.5 uM 96h	Allelic deletion (47/5)	fndr_47-5	FALSE	mouse	Chr6_70Mb_APH05_47-5_replicate_3.tlx	VI023_B400_006_result.tlx	chr6	Chr6_70Mb	1	0.5	ESC-NPC;NXP010;47/5; Aphidicolin 0.5 uM 96h	This study	Y	Y	N	Y	Y	Y	Illumina MISEQ V3 300 pair-end	ILLUMINA
VI029	Ctnna2 promoter/enhancer	B400_006	NPC	APH 0.5 uM 96h	Allelic deletion (47/5)	fndr_47-5	FALSE	mouse	Chr6_70Mb_APH05_47-5_replicate_4.tlx	VI029_B400_006_result.tlx	chr6	Chr6_70Mb	1	0.5	ESC-NPC;NXP010;47/5; Aphidicolin 0.5 uM 96h	This study	Y	Y	N	Y	Y	Y	Illumina MISEQ V3 300 pair-end	ILLUMINA
VI037	Ctnna2 promoter/enhancer	B400_007	NPC	DMSO	Allelic deletion (47/5)	fndr_47-5	TRUE	mouse	Chr6_70Mb_DMSO_47-5_replicate_5.tlx	VI037_B400_007_result.tlx	chr6	Chr6_70Mb	1	0	ESC-NPC;NXP010;47/5; DMSO	This study	Y	Y	N	Y	N	N	Illumina MISEQ V3 300 pair-end	ILLUMINA
VI038	Ctnna2 promoter/enhancer	B400_007	NPC	APH 0.5 uM 96h	Allelic deletion (47/5)	fndr_47-5	FALSE	mouse	Chr6_70Mb_APH05_47-5_replicate_5.tlx	VI038_B400_007_result.tlx	chr6	Chr6_70Mb	1	0.5	ESC-NPC;NXP010;47/5; Aphidicolin 0.5 uM 96h	This study	Y	Y	N	Y	Y	Y	Illumina MISEQ V3 300 pair-end	ILLUMINA
VI043	Ctnna2 promoter/enhancer	B400_010	NPC	DMSO	Allelic deletion (47/5)	fndr_47-5	TRUE	mouse	Chr6_70Mb_DMSO_47-5_replicate_6.tlx	VI043_B400_010_result.tlx	chr6	Chr6_70Mb	1	0	ESC-NPC;NXP010;47/5; DMSO	This study	Y	Y	N	Y	N	N	Illumina MISEQ V3 250 pair-end	ILLUMINA
VI044	Ctnna2 promoter/enhancer	B400_010	NPC	APH 0.5 uM 96h	Allelic deletion (47/5)	fndr_47-5	FALSE	mouse	Chr6_70Mb_APH05_47-5_replicate_6.tlx	VI044_B400_010_result.tlx	chr6	Chr6_70Mb	1	0.5	ESC-NPC;NXP010;47/5; Aphidicolin 0.5 uM 96h	This study	Y	Y	N	Y	Y	Y	Illumina MISEQ V3 250 pair-end	ILLUMINA
VI049	Ctnna2 promoter/enhancer	B400_011	NPC	DMSO	Allelic deletion (47/5)	fndr_47-5	TRUE	mouse	Chr6_70Mb_DMSO_47-5_replicate_7.tlx	VI049_B400_011_result.tlx	chr6	Chr6_70Mb	1	0	ESC-NPC;NXP010;47/5; DMSO	This study	Y	Y	N	Y	N	N	Illumina MISEQ V2 250 pair-end	ILLUMINA
