tlx_group	rdc_significant_maxscore	rdc_significant_length	rdc_chrom	rdc_extended_start	rdc_extended_end	rdc_start	rdc_end	rdc_significant_orientation	rdc_significant_orientation_count	rdc_subset	rdc_gene	rdc_gene_strand	rdc_gene_overlap	rdc_name	rdc_length	rdc_extended_length	rdc_bootstrap_pvalue	rdc_bootstrap_fc	rdc_is_significant	rdc_group	rdc_peak_shape	rdc_is_biphasic	rdc_DRIP_peaks	rdc_forks	rdc_sizesize
APH-Inter	2.4344606902257278	20270	chr6	27715429	27875429	27795144	27845144	combined	0+0-1*	Wei+DKFZ	Grm8	-	160000	RDC-chr6-27.8	50000	160000	1.1765496229904744e-4	2.589256527353877	FALSE	1	Twin	FALSE	0	Left-moving	532234
APH-Inter	2.468123661147273	83204	chr3	126915083	127121083	126935113	127076912	centromeric	0+1-1*	DKFZ	Ank2	-	199476	RDC-chr3-127.0	141799	206000	2.5952866217668533e-6	2.600588812561335	FALSE	1	Single	FALSE	0	NA	NA
APH-Inter	2.500474644884071	24357	chr11	80338867	80588867	80449313	80525778	centromeric	0+1-0*	Wei+DKFZ	Myo1d	-	106741	RDC-chr11-80.5	76465	250000	2.65720502643643e-4	2.1986271569611713	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	2.555242398456755	20040	chr17	85928111	86166111	85980194	86072682	centromeric	0+1-0*	DKFZ	Srbd1	-	160551	RDC-chr17-86.0	92488	238000	3.269979098904448e-5	2.8217054613544867	FALSE	2	Twin	FALSE	1	NA	NA
APH-Inter	2.5693242394142923	40384	chr3	95696220	95970220	95802473	95852473	telomeric	1+0-0*	Wei+DKFZ	NA	NA	NA	RDC-chr3-95.8	50000	274000	1.6639603533937557e-6	2.43853905220274	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	2.588872094656306	47658	chr13	89078502	89332502	89213149	89267459	telomeric	1+0-0*	Wei+DKFZ	Edil3	+	244723	RDC-chr13-89.2	54310	254000	0.001288533477445721	1.9969816613058124	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	2.5963265044000785	14049	chr14	27013662	27157662	27037524	27097110	centromeric	0+1-0*	Wei+DKFZ	Arhgef3	+	42840	RDC-chr14-27.1	59586	144000	2.5043659378763762e-5	3.3359247672784007	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	2.5981264569176945	20046	chr2	27886236	28012236	27907671	27977944	centromeric	0+1-0*	DKFZ	Col5a1	+	125841	RDC-chr2-27.9	70273	126000	3.706408835883583e-5	3.065056947466128	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	2.620045411543025	27158	chr8	37892527	38204527	37996046	38089789	centromeric	0+1-0*	Wei+DKFZ	Sgcz	-	312000	RDC-chr8-38.0	93743	312000	1.3099786906332054e-06	2.337923747505751	FALSE	1	Twin	FALSE	0	Convergent	536682
APH-Inter	2.6543814075793377	22954	chr15	35819423	35951423	35853683	35930078	telomeric	1+0-0*	Wei+DKFZ	Vps13b	+	111806	RDC-chr15-35.9	76395	132000	0.012555859307265231	1.8716577540106951	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	2.684725344321624	13522	chr6	15111912	15267912	15145960	15224458	telomeric	1+0-0*	Wei+DKFZ	Foxp2	+	156000	RDC-chr6-15.2	78498	156000	5.991064117613126e-4	2.4245262417601396	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	2.689125156286423	31074	chr11	88314869	88534869	88366928	88434588	centromeric	0+1-0*	Wei+DKFZ	Msi2	-	195487	RDC-chr11-88.4	67660	220000	8.802397381675596e-6	2.437207340249687	FALSE	1	Largely overlap	FALSE	0	NA	NA
APH-Inter	2.7050755036407006	10743	chr9	56299795	56559795	56439260	56491688	telomeric	1+0-0*	Wei+DKFZ	Peak1	-	118435	RDC-chr9-56.5	52428	260000	1.0148780505613833e-5	2.290904559679185	FALSE	2	Largely overlap	FALSE	2	NA	NA
APH-Inter	2.7106714881486447	24340	chr15	63914730	64094730	63937910	64006531	centromeric	0+1-0*	Wei+DKFZ	Asap1	-	7890	RDC-chr15-64.0	68621	180000	7.893774739448934e-4	2.074585082983403	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	2.718400040282358	29276	chr14	25472254	25763228	25578863	25659590	telomeric	1+0-1*	DKFZ	Zmiz1	+	194489	RDC-chr14-25.6	80727	290974	3.727047347519712e-10	3.65269546384209	FALSE	1	Largely overlap	FALSE	5	NA	NA
APH-Inter	2.71872043205166	19630	chr17	5184617	5350617	5216712	5270803	telomeric	1+0-0*	DKFZ	Arid1b	+	163039	RDC-chr17-5.2	54091	166000	5.77472026939434e-4	2.6020645016307262	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	2.738862865072671	43838	chr4	155036844	155284844	155152812	155246052	telomeric	1+0-0*	DKFZ	Prkcz	-	24726	RDC-chr4-155.2	93240	248000	3.772327673841221e-7	3.4357578114871	FALSE	2	Twin; Largely overlap	FALSE	11	NA	NA
