fork_direction	fork_iz	fork_chrom	fork_tz	fork_start	fork_end	fork_pred
telomeric	1	chr1	825000	1	825000	1
centromeric	1225000	chr1	825000	825000	1225000	1
telomeric	1225000	chr1	1450000	1225000	1450000	0.9694657921791077
centromeric	1675000	chr1	1450000	1450000	1675000	0.9694657921791077
telomeric	1675000	chr1	1825000	1675000	1825000	0.9999979734420776
centromeric	2025000	chr1	1825000	1825000	2025000	0.9999979734420776
telomeric	2025000	chr1	2125000	2025000	2125000	0.9999827146530151
centromeric	2225000	chr1	2125000	2125000	2225000	0.9999827146530151
telomeric	2225000	chr1	2375000	2225000	2375000	0.9958957433700562
centromeric	2475000	chr1	2375000	2375000	2475000	0.9958957433700562
telomeric	2475000	chr1	2825000	2475000	2825000	0.9535167813301086
centromeric	3975000	chr1	2825000	2825000	3975000	0.9535167813301086
telomeric	3975000	chr1	4225000	3975000	4225000	0.9996931552886963
centromeric	4375000	chr1	4225000	4225000	4375000	0.9996931552886963
telomeric	4375000	chr1	4575000	4375000	4575000	0.5741068124771118
centromeric	4825000	chr1	4575000	4575000	4825000	0.5741068124771118
telomeric	4825000	chr1	5800000	4825000	5800000	1
centromeric	6125000	chr1	5800000	5800000	6125000	1
telomeric	6125000	chr1	6600000	6125000	6600000	1
centromeric	7225000	chr1	6600000	6600000	7225000	1
telomeric	7225000	chr1	7725000	7225000	7725000	0.9999557733535767
centromeric	7875000	chr1	7725000	7725000	7875000	0.9999557733535767
telomeric	7875000	chr1	8000000	7875000	8000000	0.9342657923698425
centromeric	8100000	chr1	8000000	8000000	8100000	0.9342657923698425
telomeric	8075000	chr1	8175000	8075000	8175000	0.9978389143943787
centromeric	8925000	chr1	8175000	8175000	8925000	0.9978389143943787
telomeric	8925000	chr1	9075000	8925000	9075000	1
centromeric	9675000	chr1	9075000	9075000	9675000	1
telomeric	9675000	chr1	10600000	9675000	10600000	1
centromeric	10925000	chr1	10600000	10600000	10925000	1
telomeric	10925000	chr1	11100000	10925000	11100000	1
centromeric	12675000	chr1	11100000	11100000	12675000	1
telomeric	12675000	chr1	13075000	12675000	13075000	1
centromeric	13475000	chr1	13075000	13075000	13475000	1
telomeric	13475000	chr1	13900000	13475000	13900000	1
centromeric	14475000	chr1	13900000	13900000	14475000	1
telomeric	14475000	chr1	15300000	14475000	15300000	0.9999998807907104
centromeric	16175000	chr1	15300000	15300000	16175000	0.9999998807907104
telomeric	16175000	chr1	16350000	16175000	16350000	1
centromeric	16625000	chr1	16350000	16350000	16625000	1
telomeric	16625000	chr1	17800000	16625000	17800000	0.9985207915306091
centromeric	18525000	chr1	17800000	17800000	18525000	0.9985207915306091
telomeric	18525000	chr1	18750000	18525000	18750000	0.9999998807907104
centromeric	19225000	chr1	18750000	18750000	19225000	0.9999998807907104
telomeric	19225000	chr1	19550000	19225000	19550000	1
centromeric	19925000	chr1	19550000	19550000	19925000	1
telomeric	19925000	chr1	20400000	19925000	20400000	1
centromeric	20925000	chr1	20400000	20400000	20925000	1
