fork_direction	fork_iz	fork_chrom	fork_tz	fork_start	fork_end	fork_pred
telomeric	1	chr1	325000	1	325000	0.9997778534889221
centromeric	425000	chr1	325000	325000	425000	0.9997778534889221
telomeric	425000	chr1	625000	425000	625000	0.9999040365219116
centromeric	1825000	chr1	625000	625000	1825000	0.9999040365219116
telomeric	1825000	chr1	1925000	1825000	1925000	0.9973428845405579
centromeric	2025000	chr1	1925000	1925000	2025000	0.9973428845405579
telomeric	2025000	chr1	2125000	2025000	2125000	0.9887250065803528
centromeric	2525000	chr1	2125000	2125000	2525000	0.9887250065803528
telomeric	2525000	chr1	3700000	2525000	3700000	1
centromeric	4825000	chr1	3700000	3700000	4825000	1
telomeric	4825000	chr1	5700000	4825000	5700000	1
centromeric	6275000	chr1	5700000	5700000	6275000	1
telomeric	6275000	chr1	6600000	6275000	6600000	1
centromeric	7075000	chr1	6600000	6600000	7075000	1
telomeric	7075000	chr1	7950000	7075000	7950000	1
centromeric	8125000	chr1	7950000	7950000	8125000	1
telomeric	8125000	chr1	8250000	8125000	8250000	0.9993231296539307
centromeric	8575000	chr1	8250000	8250000	8575000	0.9993231296539307
telomeric	8575000	chr1	8750000	8575000	8750000	1
centromeric	8925000	chr1	8750000	8750000	8925000	1
telomeric	8925000	chr1	9200000	8925000	9200000	1
centromeric	9975000	chr1	9200000	9200000	9975000	1
telomeric	9975000	chr1	10550000	9975000	10550000	1
centromeric	10925000	chr1	10550000	10550000	10925000	1
telomeric	10925000	chr1	11050000	10925000	11050000	1
centromeric	13075000	chr1	11050000	11050000	13075000	1
telomeric	13075000	chr1	13450000	13075000	13450000	1
centromeric	13625000	chr1	13450000	13450000	13625000	1
telomeric	13625000	chr1	14100000	13625000	14100000	0.9999837875366211
centromeric	14625000	chr1	14100000	14100000	14625000	0.9999837875366211
telomeric	14625000	chr1	15200000	14625000	15200000	1
centromeric	15775000	chr1	15200000	15200000	15775000	1
telomeric	15775000	chr1	16275000	15775000	16275000	1
centromeric	16625000	chr1	16275000	16275000	16625000	1
telomeric	16625000	chr1	17875000	16625000	17875000	0.9999679327011108
centromeric	18125000	chr1	17875000	17875000	18125000	0.9999679327011108
telomeric	18125000	chr1	18800000	18125000	18800000	0.9999990463256836
centromeric	20775000	chr1	18800000	18800000	20775000	0.9999990463256836
telomeric	20775000	chr1	20950000	20775000	20950000	1
centromeric	21225000	chr1	20950000	20950000	21225000	1
telomeric	21225000	chr1	22900000	21225000	22900000	0.9999995231628418
centromeric	23275000	chr1	22900000	22900000	23275000	0.9999995231628418
telomeric	23275000	chr1	23475000	23275000	23475000	1
centromeric	23975000	chr1	23475000	23475000	23975000	1
telomeric	23975000	chr1	24500000	23975000	24500000	0.9999996423721313
centromeric	24725000	chr1	24500000	24500000	24725000	0.9999996423721313
telomeric	24725000	chr1	25600000	24725000	25600000	0.9999864101409912
centromeric	26375000	chr1	25600000	25600000	26375000	0.9999864101409912
telomeric	26375000	chr1	27050000	26375000	27050000	0.50630950927734375
centromeric	30875000	chr1	27050000	27050000	30875000	0.50630950927734375
telomeric	30875000	chr1	32050000	30875000	32050000	0.7008088231086731
centromeric	32225000	chr1	32050000	32050000	32225000	0.7008088231086731
telomeric	32225000	chr1	32350000	32225000	32350000	0.9038755893707275
centromeric	34025000	chr1	32350000	32350000	34025000	0.9038755893707275
telomeric	34025000	chr1	34650000	34025000	34650000	1
centromeric	34825000	chr1	34650000	34650000	34825000	1
telomeric	34825000	chr1	35300000	34825000	35300000	0.9999986886978149
centromeric	36025000	chr1	35300000	35300000	36025000	0.9999986886978149
telomeric	36025000	chr1	36375000	36025000	36375000	1
centromeric	36575000	chr1	36375000	36375000	36575000	1
telomeric	36575000	chr1	36800000	36575000	36800000	1
centromeric	36975000	chr1	36800000	36800000	36975000	1
telomeric	36975000	chr1	37450000	36975000	37450000	1
centromeric	37575000	chr1	37450000	37450000	37575000	1
telomeric	37575000	chr1	37700000	37575000	37700000	1
centromeric	39475000	chr1	37700000	37700000	39475000	1
telomeric	39475000	chr1	41600000	39475000	41600000	1
centromeric	44075000	chr1	41600000	41600000	44075000	1
telomeric	44075000	chr1	45000000	44075000	45000000	1
centromeric	45375000	chr1	45000000	45000000	45375000	1
telomeric	45375000	chr1	45550000	45375000	45550000	0.9999449253082275
centromeric	45825000	chr1	45550000	45550000	45825000	0.9999449253082275
telomeric	45825000	chr1	46300000	45825000	46300000	1
centromeric	46775000	chr1	46300000	46300000	46775000	1
telomeric	46775000	chr1	47600000	46775000	47600000	0.9999178647994995
centromeric	50625000	chr1	47600000	47600000	50625000	0.9999178647994995
telomeric	50625000	chr1	50950000	50625000	50950000	0.9998482465744019
centromeric	51925000	chr1	50950000	50950000	51925000	0.9998482465744019
telomeric	51925000	chr1	52025000	51925000	52025000	0.9999977350234985
centromeric	52175000	chr1	52025000	52025000	52175000	0.9999977350234985
telomeric	52175000	chr1	52550000	52175000	52550000	1
centromeric	53325000	chr1	52550000	52550000	53325000	1
telomeric	53325000	chr1	53475000	53325000	53475000	1
centromeric	53775000	chr1	53475000	53475000	53775000	1
telomeric	53775000	chr1	54150000	53775000	54150000	1
centromeric	54475000	chr1	54150000	54150000	54475000	1
telomeric	54475000	chr1	54700000	54475000	54700000	1
centromeric	55075000	chr1	54700000	54700000	55075000	1
telomeric	55075000	chr1	56200000	55075000	56200000	1
centromeric	57975000	chr1	56200000	56200000	57975000	1
telomeric	57975000	chr1	58150000	57975000	58150000	1
centromeric	58475000	chr1	58150000	58150000	58475000	1
