offtarget_bait_name	offtarget_bait_chrom	offtarget_bait_start	offtarget_bait_end	offtarget_bait_strand	offtarget_chrom	offtarget_start	offtarget_end	offtarget_strand_pvalue	offtarget_strand_odds	offtarget_sequence_start	offtarget_sequence_end	offtarget_alignment_score	offtarget_alignment_pid
Chr1_41Mb	chr1	41907735	41907754	-	chr13	21350141	21350204	6.448388708871367e-7	1000	21350144	21350173	39.18095779418945	42.857142857142854
Chr1_41Mb	chr1	41907735	41907754	-	chr18	12889963	12889971	0.0047619047619047615	1000	12889963	12889969	6.8358049392700195	69.23076923076923
Chr1_41Mb	chr1	41907735	41907754	-	chr8	22925416	22925443	1.9980019980019988e-4	1000	22925418	22925435	20.17160987854004	72
Chr1_41Mb	chr1	41907735	41907754	-	chr13	118063175	118063700	1.3940229241227838e-99	82.72055290354335	118063404	118063428	34.37727737426758	50
Chr1_41Mb	chr1	41907735	41907754	-	chr1	87152958	87153006	1.6374419305780977e-10	1000	87152965	87152985	23.769916534423828	25.925925925925927
Chr1_41Mb	chr1	41907735	41907754	-	chr4	141467563	141467764	1.1675216802616538e-39	501.4660171410782	141467691	141467715	18.466232299804688	50
Chr1_41Mb	chr1	41907735	41907754	-	chr12	112132324	112132533	3.075553091496213e-31	325.4847679502332	112132381	112132401	24.635122299194336	76.92307692307692
Chr1_41Mb	chr1	41907735	41907754	-	chr7	128935506	128935592	9.614829913658855e-6	1000	128935543	128935564	29.116878509521484	80.76923076923077
Chr1_41Mb	chr1	41907735	41907754	-	chr8	123017006	123017215	1.4396179369715563e-45	1000	123017015	123017039	18.466232299804688	69.23076923076923
Chr1_41Mb	chr1	41907735	41907754	-	chr3	37163739	37165155	3.730248708788462e-263	91.35729947841634	37164019	37164043	27.616878509521484	72.41379310344827
Chr1_41Mb	chr1	41907735	41907754	-	chr14	106203904	106204515	1.5156536468090868e-70	100.2353468476419	106204156	106204175	31.135120391845703	80
Chr1_41Mb	chr1	41907735	41907754	-	chr3	152069919	152071483	4.521948545658597e-222	63.302997802704994	152070542	152070562	31.616878509521484	84
