collision_chrom	collision_iz_left	collision_iz_right	collision_tz
chr1	1	425000	325000
chr1	425000	1825000	625000
chr1	1825000	2025000	1925000
chr1	2025000	2525000	2125000
chr1	2525000	4825000	3700000
chr1	4825000	6275000	5700000
chr1	6275000	7075000	6600000
chr1	7075000	8125000	7950000
chr1	8125000	8575000	8250000
chr1	8575000	8925000	8750000
chr1	8925000	9975000	9200000
chr1	9975000	10925000	10550000
chr1	10925000	13075000	11050000
chr1	13075000	13625000	13450000
chr1	13625000	14625000	14100000
chr1	14625000	15775000	15200000
chr1	15775000	16625000	16275000
chr1	16625000	18125000	17875000
chr1	18125000	20775000	18800000
chr1	20775000	21225000	20950000
chr1	21225000	23275000	22900000
chr1	23275000	23975000	23475000
chr1	23975000	24725000	24500000
chr1	24725000	26375000	25600000
chr1	26375000	30875000	27050000
chr1	30875000	32225000	32050000
chr1	32225000	34025000	32350000
chr1	34025000	34825000	34650000
chr1	34825000	36025000	35300000
chr1	36025000	36575000	36375000
chr1	36575000	36975000	36800000
chr1	36975000	37575000	37450000
chr1	37575000	39475000	37700000
chr1	39475000	44075000	41600000
chr1	44075000	45375000	45000000
chr1	45375000	45825000	45550000
chr1	45825000	46775000	46300000
chr1	46775000	50625000	47600000
chr1	50625000	51925000	50950000
chr1	51925000	52175000	52025000
chr1	52175000	53325000	52550000
chr1	53325000	53775000	53475000
chr1	53775000	54475000	54150000
chr1	54475000	55075000	54700000
chr1	55075000	57975000	56200000
chr1	57975000	58475000	58150000
chr1	58475000	59725000	58950000
chr1	59725000	60375000	59950000
chr1	60375000	60825000	60650000
chr1	60825000	63175000	61800000
chr1	63175000	64725000	64050000
chr1	64725000	66725000	65750000
chr1	66725000	71075000	68900000
chr1	71075000	71625000	71300000
chr1	71625000	72225000	71900000
chr1	72225000	72775000	72550000
chr1	72775000	74075000	73300000
chr1	74075000	74325000	74175000
chr1	74325000	74825000	74725000
chr1	74825000	75225000	74950000
chr1	75225000	75525000	75425000
